radius,step,vel,ax,ay,time_step,rpm_left,rpm_right,torque_left,torque_right,power_left,power_right,total_energy,steer,throttle
-416.6666667,1.285,27.23072831,0.265707594,-0.181409802,0.047189336,5783.900971,5783.900971,57.26872247,57.26872247,34687.01768,34687.01768,0.000909365,0,0.611764706
-1250,1.2636,27.34246714,0.245965874,-0.060967218,0.046213825,5807.433715,5807.433715,57.26872247,57.26872247,34828.14747,34828.14747,0.00089419,0,0.611764706
666.6666667,1.2373,27.44353258,0.228085809,0.115160165,0.045085304,5828.719367,5828.719367,57.26872247,57.26872247,34955.80107,34955.80107,0.000875552,0,0.611764706
243.902439,1.2124,27.30374012,-1.191442358,0.31157251,0.044404173,0,0,0,0,0,0,0,0,0
126.5822785,1.1798,26.77971325,-1.329395901,0.577523856,0.044055737,0,0,0,0,0,0,0,0,0
90.90909091,1.147,26.1988667,-1.471245435,0.769641874,0.04378052,0,0,0,0,0,0,0,0,0
85.47008547,1.1113,25.5591765,-1.612653917,0.779131151,0.043479492,0,0,0,0,0,0,0,0,0
87.71929825,1.0748,24.8618115,-1.748848584,0.718292584,0.043230961,0,0,0,0,0,0,0,0,0
111.1111111,1.0388,24.10872651,-1.783435536,0.533239169,0.043088132,0,0,0,0,0,0,0,0,0
153.8461538,1.0038,23.34270845,-1.797877204,0.361032951,0.043002722,0,0,0,0,0,0,0,0,0
270.2702703,0.9709,22.57152286,-1.807577244,0.192156217,0.043014377,0,0,0,0,0,0,0,0,0
322.5806452,0.9402,21.79543532,-1.812977976,0.150114893,0.043137473,0,0,0,0,0,0,0,0,0
277.7777778,0.9124,21.01422129,-1.814597858,0.162054127,0.043418216,0,0,0,0,0,0,0,0,0
147.0588235,0.887,20.22656316,-1.812869339,0.283585548,0.043853224,0,0,0,0,0,0,0,0,0
62.5,0.8631,19.43102162,-1.808182834,0.615803631,0.044418663,0,0,0,0,0,0,0,0,0
36.49635036,0.8416,18.62645412,-1.69,0.969040503,0.04518305,3486.5481,3438.539396,2.68E-08,2.73E-08,9.78E-06,9.83E-06,2.46E-13,3.087157447,-0.977855817
27.62430939,0.8191,17.86166814,-1.645,1.17729038,0.045857979,3350.109541,3297.442647,4.88E-08,5.03E-08,1.71E-05,1.74E-05,4.39E-13,2.824006259,-0.957048916
23.31002331,0.7954,17.10563703,-1.455,1.279578073,0.046499291,3265.782671,3157.27685,-7.80E-07,-8.18E-07,-0.000266898,-0.000270354,6.94E-12,3.017018058,-0.817035061
19.56947162,0.7713,16.42852564,-1.17,1.405882654,0.046948826,3171.557014,3038.140722,3.00E-05,3.15E-05,0.009972416,0.010025896,2.61E-10,3.775701166,-0.609330637
16.12903226,0.7476,15.88052124,-0.815,1.5938674,0.04707654,3095.352705,2975.875608,0.000424198,0.000506601,0.137501496,0.157873714,3.86E-09,4.251000619,-0.352657353
14.38848921,0.7266,15.49956794,-0.665,1.701982074,0.046878726,3031.580176,2961.543715,0.018521996,0.019495007,5.880110256,6.046028213,1.55E-07,4.980108804,-0.251639446
13.12335958,0.7066,15.19066945,-0.54,1.792420041,0.046515396,2979.135399,2938.514463,-0.044232737,-0.049344013,-13.79947842,-15.18416498,3.74E-07,6.372206518,-0.169807029
11.84834123,0.6903,14.94222716,-0.385,1.920897134,0.046197932,2939.096902,2920.617952,-0.447501059,-0.465055851,-137.7325507,-142.2356563,3.59E-06,9.718648222,-0.068973094
10.88139282,0.6775,14.7667137,-0.17,2.04274527,0.045880215,2922.909407,2988.788077,9.299775512,9.733419917,2846.53441,3046.415947,7.51E-05,13.58139775,0.102060567
10.70663812,0.6774,14.69,0,2.054572451,0.046113002,0,0,0,0,0,0,0,0,0
12.22493888,0.6758,14.96054523,0.605,1.866290044,0.04517215,3052.353961,3145.264793,69.13520341,43.07132685,22098.49805,14186.46145,0.000455297,27.75690688,0.667594479
15.22070015,0.661,15.25243296,0.68,1.55802568,0.043337348,3110.347628,3207.938987,67.13947469,50.47133238,21868.32338,16955.06611,0.000467362,24.81984006,0.69689049
23.04147465,0.6499,15.49382368,-1.645,1.062032827,0.041945746,2880.422689,2860.392953,3.45E-08,3.60E-08,1.04E-05,1.08E-05,2.47E-13,3.562353506,-0.977703933
70.42253521,0.6394,14.8014565,-1.743637077,0.317123367,0.043198451,0,0,0,0,0,0,0,0,0
-50.76142132,0.6256,14.04311713,-1.728399676,-0.396026507,0.044548514,0,0,0,0,0,0,0,0,0
-19.72386588,0.6005,13.26628399,-1.605,-0.909572941,0.045265125,2463.487005,2448.980574,4.34E-08,4.67E-08,1.12E-05,1.20E-05,2.91E-13,-4.547210902,-0.976132736
-13.14060447,0.5777,12.53333498,-1.54,-1.218565685,0.046093079,2338.605871,2313.685636,-2.34E-08,-2.88E-08,-5.73E-06,-6.98E-06,1.63E-13,-5.734067516,-0.950376198
-10.1010101,0.5722,11.81648831,-1.3,-1.409103995,0.048423862,2257.751681,2181.348415,-3.40E-07,1.52E-07,-8.03E-05,3.47E-05,1.55E-12,-18.74563157,-0.732322789
-7.930214116,0.573,11.18189889,-0.82,-1.60722693,0.051243533,2175.051544,2068.658715,-0.000472851,-0.000203818,-0.10770171,-0.044152881,2.16E-09,-24.3226741,-0.374685626
-6.738544474,0.5617,10.76179397,-0.535,-1.752000559,0.0521939,2108.665826,2067.699,-0.019294025,-0.031734693,-4.260486703,-6.871479127,1.61E-07,-37.14438585,-0.183612872
